respondent_id	persona	Q1_in_fuzhou_university	Q2_birth_year	Q3_grade	Q4_major_category	Q5_internship_experience	Q6_employment_direction_clarity	Q7_unit_type	Q8_region	Q9_info_channels	Q10_salary_security_rank	Q11_career_development_rank	Q12_interest_match_rank	Q13_work_life_rank	Q14_company_social_rank	Q15_overall_rank	Q16_willing_consider_low_fame	Q17_other_factors
SIM-001	大四_理性型	1	4	4	1	1	3	1|5	2	7|6|3	工作环境及工作条件>工作稳定性>薪资收入水平>福利待遇与社会保障	长期职业发展空间>晋升机会>发展个人能力特长>培训和学习机会	工作内容符合个人兴趣>工作能够实现个人价值并获得成就感>工作内容与所学专业相匹配	办公硬件环境>工作地点及通勤条件>工作强度与加班情况>工作时间和休假制度	企业发展前景>企业知名度和社会声誉>企业文化和工作氛围	工作生活因素>职业发展因素>兴趣与匹配因素>企业与社会因素>薪资与保障因素	2	看重大平台带来的眼界和人脉。
SIM-002	大一_积极型	1	4	1	1	2	2	1|6|2	3	2|7	工作稳定性>工作环境及工作条件>薪资收入水平>福利待遇与社会保障	发展个人能力特长>培训和学习机会>长期职业发展空间>晋升机会	工作内容符合个人兴趣>工作能够实现个人价值并获得成就感>工作内容与所学专业相匹配	工作时间和休假制度>工作地点及通勤条件>办公硬件环境>工作强度与加班情况	企业发展前景>企业知名度和社会声誉>企业文化和工作氛围	工作生活因素>兴趣与匹配因素>职业发展因素>企业与社会因素>薪资与保障因素	1	希望工作强度适中，不要长期加班。
SIM-003	大三_理性型	1	3	3	1	1	2	1|4	1	1|6|9	薪资收入水平>工作稳定性>工作环境及工作条件>福利待遇与社会保障	发展个人能力特长>晋升机会>培训和学习机会>长期职业发展空间	工作能够实现个人价值并获得成就感>工作内容符合个人兴趣>工作内容与所学专业相匹配	工作地点及通勤条件>办公硬件环境>工作时间和休假制度>工作强度与加班情况	企业文化和工作氛围>企业知名度和社会声誉>企业发展前景	薪资与保障因素>兴趣与匹配因素>企业与社会因素>工作生活因素>职业发展因素	2	希望岗位和专业对口，学有所用。
SIM-004	大一_积极型	1	5	1	5	2	3	6|5|4	1	3|9|2	工作环境及工作条件>薪资收入水平>福利待遇与社会保障>工作稳定性	发展个人能力特长>晋升机会>培训和学习机会>长期职业发展空间	工作内容与所学专业相匹配>工作能够实现个人价值并获得成就感>工作内容符合个人兴趣	工作地点及通勤条件>工作时间和休假制度>办公硬件环境>工作强度与加班情况	企业发展前景>企业知名度和社会声誉>企业文化和工作氛围	企业与社会因素>兴趣与匹配因素>薪资与保障因素>工作生活因素>职业发展因素	2	希望岗位和专业对口，学有所用。
SIM-005	大二_积极型	1	6	2	4	2	3	3	1	8|6|2	薪资收入水平>福利待遇与社会保障>工作稳定性>工作环境及工作条件	长期职业发展空间>晋升机会>培训和学习机会>发展个人能力特长	工作内容符合个人兴趣>工作内容与所学专业相匹配>工作能够实现个人价值并获得成就感	工作时间和休假制度>办公硬件环境>工作地点及通勤条件>工作强度与加班情况	企业发展前景>企业文化和工作氛围>企业知名度和社会声誉	兴趣与匹配因素>职业发展因素>工作生活因素>薪资与保障因素>企业与社会因素	4	只要成长空间大，知名度不高也无所谓。
SIM-006	大四_谨慎型	1	3	4	3	1	3	5	1	2|4|6	工作稳定性>薪资收入水平>工作环境及工作条件>福利待遇与社会保障	长期职业发展空间>晋升机会>发展个人能力特长>培训和学习机会	工作能够实现个人价值并获得成就感>工作内容符合个人兴趣>工作内容与所学专业相匹配	办公硬件环境>工作强度与加班情况>工作时间和休假制度>工作地点及通勤条件	企业发展前景>企业知名度和社会声誉>企业文化和工作氛围	工作生活因素>薪资与保障因素>兴趣与匹配因素>企业与社会因素>职业发展因素	2	更看重团队氛围是否融洽。
SIM-007	大四_积极型	1	3	4	1	2	2	8	3	4|3|2	福利待遇与社会保障>工作环境及工作条件>工作稳定性>薪资收入水平	发展个人能力特长>培训和学习机会>晋升机会>长期职业发展空间	工作内容符合个人兴趣>工作能够实现个人价值并获得成就感>工作内容与所学专业相匹配	工作地点及通勤条件>办公硬件环境>工作时间和休假制度>工作强度与加班情况	企业文化和工作氛围>企业发展前景>企业知名度和社会声誉	工作生活因素>兴趣与匹配因素>职业发展因素>薪资与保障因素>企业与社会因素	3	更想去有年轻团队的公司。
SIM-008	大二_积极型	1	5	2	2	2	2	4	2	1|3|9	薪资收入水平>工作稳定性>福利待遇与社会保障>工作环境及工作条件	发展个人能力特长>晋升机会>长期职业发展空间>培训和学习机会	工作能够实现个人价值并获得成就感>工作内容与所学专业相匹配>工作内容符合个人兴趣	工作地点及通勤条件>工作强度与加班情况>办公硬件环境>工作时间和休假制度	企业知名度和社会声誉>企业发展前景>企业文化和工作氛围	工作生活因素>薪资与保障因素>职业发展因素>企业与社会因素>兴趣与匹配因素	2	
SIM-009	大一_积极型	1	5	1	5	2	2	1	1	6|1|7	工作环境及工作条件>福利待遇与社会保障>工作稳定性>薪资收入水平	培训和学习机会>晋升机会>长期职业发展空间>发展个人能力特长	工作内容与所学专业相匹配>工作内容符合个人兴趣>工作能够实现个人价值并获得成就感	办公硬件环境>工作地点及通勤条件>工作时间和休假制度>工作强度与加班情况	企业发展前景>企业文化和工作氛围>企业知名度和社会声誉	工作生活因素>薪资与保障因素>兴趣与匹配因素>职业发展因素>企业与社会因素	1	希望行业本身有发展前景，比如新能源或数字经济。
SIM-010	大三_理性型	1	5	3	5	2	1	8	2	6|8|2	薪资收入水平>福利待遇与社会保障>工作稳定性>工作环境及工作条件	长期职业发展空间>发展个人能力特长>晋升机会>培训和学习机会	工作内容符合个人兴趣>工作能够实现个人价值并获得成就感>工作内容与所学专业相匹配	工作时间和休假制度>工作强度与加班情况>办公硬件环境>工作地点及通勤条件	企业文化和工作氛围>企业知名度和社会声誉>企业发展前景	薪资与保障因素>工作生活因素>兴趣与匹配因素>职业发展因素>企业与社会因素	2	在意办公环境，比如工位和设备。
